station,lat,lon,dep_count,arr_count,activity_type
Westbahnhof S U / Felberstraße,48.197958,16.3377,91.0,122.0,more_arrivals
Westbahnhof S U / Gerstnerstraße,48.195315,16.337344,56.0,79.0,more_arrivals
Westbahnstraße / Schottenfeldgasse,48.201942,16.343241,116.0,122.0,more_arrivals
Wieningerplatz,48.194063,16.31846,46.0,45.0,more_departures
Währinger Park,48.232184,16.346819,10.0,14.0,more_arrivals
Währinger Straße U,48.225482,16.349795,93.0,88.0,more_departures
Yppengasse,48.214561,16.335624,138.0,161.0,more_arrivals
Zentralfriedhof 2. Tor,48.154665,16.442269,18.0,17.0,more_departures
Zieglergasse U,48.196724,16.343985,238.0,220.0,more_departures
Zippererstraße U,48.17915,16.411219,14.0,13.0,more_departures
eLastenräder - Am Tabor,48.224598,16.39209,42.0,40.0,more_departures
eLastenräder - Am langen Felde,48.250224,16.45065,2.0,3.0,more_arrivals
eLastenräder - Bruno-Marek-Allee,48.227914,16.391516,47.0,46.0,more_departures
eLastenräder- Modecenterstraße / The Marks,48.184929,16.413964,16.0,10.0,more_departures
