station,lat,lon,dep_morning,dep_midday,dep_evening,dep_night,arr_morning,arr_midday,arr_evening,arr_night,status_morning,status_midday,status_evening,status_night
Neilreichgasse,48.176253,16.366421,5.0,8.0,6.0,5.0,3.0,3.0,16.0,3.0,more_departures,more_departures,more_arrivals,more_departures
Neu Leopoldau,48.273397,16.426352,2.0,4.0,18.0,4.0,0.0,1.0,5.0,6.0,more_departures,more_departures,more_departures,more_arrivals
Neubaugasse U,48.198527,16.35093,36.0,66.0,114.0,93.0,55.0,97.0,111.0,52.0,more_arrivals,more_arrivals,more_departures,more_departures
Neue Donau U,48.246414,16.395676,19.0,23.0,28.0,35.0,3.0,14.0,33.0,29.0,more_departures,more_departures,more_arrivals,more_departures
Niederhofstraße U,48.180233,16.330812,7.0,17.0,20.0,20.0,5.0,10.0,21.0,26.0,more_departures,more_departures,more_arrivals,more_arrivals
Niederpointenstraße,48.20326,16.275366,0.0,0.0,3.0,0.0,0.0,3.0,1.0,3.0,equal,more_arrivals,more_departures,more_arrivals
Nietzscheplatz,48.220453,16.306123,5.0,5.0,5.0,1.0,2.0,2.0,4.0,4.0,more_departures,more_departures,more_departures,more_arrivals
Nordbahnstrasse,48.227231,16.388737,0.0,7.0,8.0,2.0,0.0,3.0,6.0,6.0,equal,more_departures,more_departures,more_arrivals
Nussbaumallee,48.181554,16.42316,10.0,2.0,4.0,1.0,2.0,0.0,3.0,1.0,more_departures,more_departures,more_departures,equal
Nussdorf S,48.259495,16.367553,2.0,10.0,10.0,6.0,2.0,18.0,9.0,3.0,equal,more_arrivals,more_departures,more_departures
Nussdorfer Straße U,48.231717,16.353124,3.0,5.0,11.0,22.0,0.0,5.0,18.0,17.0,more_departures,equal,more_arrivals,more_departures
Ober St. Veit U,48.192296,16.274813,4.0,5.0,9.0,16.0,1.0,3.0,11.0,8.0,more_departures,more_departures,more_arrivals,more_departures
Oberdöbling S,48.244386,16.344711,9.0,4.0,7.0,5.0,1.0,5.0,8.0,6.0,more_departures,more_arrivals,more_arrivals,more_arrivals
Obere Augartenstraße,48.223,16.374752,39.0,22.0,27.0,15.0,7.0,34.0,29.0,35.0,more_departures,more_arrivals,more_arrivals,more_arrivals
Oper,48.202683,16.369702,5.0,67.0,117.0,119.0,57.0,130.0,92.0,57.0,more_arrivals,more_arrivals,more_departures,more_departures
Ottakring S U,48.211841,16.311806,16.0,21.0,26.0,34.0,5.0,21.0,13.0,31.0,more_departures,equal,more_departures,more_departures
Otto-Probst-Platz,48.154212,16.348729,1.0,1.0,7.0,11.0,0.0,1.0,9.0,13.0,more_departures,equal,more_arrivals,more_arrivals
Palffygasse,48.217217,16.337131,11.0,27.0,15.0,7.0,18.0,9.0,28.0,35.0,more_arrivals,more_departures,more_arrivals,more_arrivals
Parhamerplatz,48.216137,16.328093,16.0,21.0,16.0,14.0,6.0,1.0,20.0,49.0,more_departures,more_departures,more_arrivals,more_arrivals
Perfektastraße U,48.136491,16.313367,1.0,1.0,3.0,3.0,0.0,1.0,3.0,0.0,more_departures,equal,equal,more_departures
Petrusgasse,48.192988,16.398459,46.0,20.0,28.0,30.0,7.0,31.0,47.0,32.0,more_departures,more_arrivals,more_arrivals,more_arrivals
Pilgramgasse U,48.192945,16.354936,16.0,52.0,29.0,28.0,17.0,21.0,44.0,42.0,more_arrivals,more_departures,more_arrivals,more_arrivals
Plunkergasse,48.199892,16.327151,16.0,24.0,22.0,17.0,1.0,24.0,13.0,44.0,more_departures,equal,more_departures,more_arrivals
Praterstern Ausstellungsstraße,48.21785,16.395483,11.0,58.0,85.0,86.0,9.0,96.0,87.0,68.0,more_departures,more_arrivals,more_arrivals,more_departures
Praterstern S U,48.218454,16.390281,55.0,64.0,147.0,112.0,16.0,77.0,170.0,96.0,more_departures,more_arrivals,more_arrivals,more_departures
Purkytgasse ,48.15011,16.33364,0.0,2.0,0.0,4.0,0.0,2.0,1.0,1.0,equal,equal,more_arrivals,more_departures
Radetzkyplatz,48.210682,16.390221,38.0,52.0,46.0,28.0,13.0,33.0,63.0,54.0,more_departures,more_departures,more_arrivals,more_arrivals
Rathaus U,48.211441,16.356586,6.0,19.0,23.0,21.0,17.0,18.0,14.0,13.0,more_arrivals,more_departures,more_departures,more_departures
Rathausplatz / Burgtheater,48.209923,16.360245,5.0,22.0,28.0,21.0,17.0,21.0,18.0,10.0,more_arrivals,more_departures,more_departures,more_departures
Raxstraße,48.163234,16.366437,4.0,4.0,2.0,4.0,0.0,3.0,4.0,5.0,more_departures,more_departures,more_arrivals,more_arrivals
Reinprechtsdorfer Brücke,48.189633,16.351143,24.0,32.0,42.0,15.0,22.0,35.0,28.0,44.0,more_departures,more_arrivals,more_departures,more_arrivals
Rennbahnweg U,48.257535,16.44959,0.0,9.0,10.0,12.0,3.0,13.0,6.0,11.0,more_arrivals,more_arrivals,more_departures,more_departures
Rennweg S,48.194261,16.386578,40.0,41.0,35.0,28.0,14.0,32.0,41.0,61.0,more_departures,more_departures,more_arrivals,more_arrivals
Reumannplatz U,48.172937,16.378663,16.0,17.0,27.0,16.0,7.0,31.0,13.0,21.0,more_departures,more_arrivals,more_departures,more_arrivals
Richard-Wagner-Platz,48.210054,16.328049,13.0,20.0,23.0,13.0,7.0,17.0,24.0,27.0,more_departures,more_departures,more_arrivals,more_arrivals
Rochusmarkt,48.203416,16.389789,11.0,26.0,27.0,11.0,5.0,22.0,34.0,23.0,more_departures,more_departures,more_arrivals,more_arrivals
Rosensteingasse,48.21955,16.326586,15.0,18.0,13.0,11.0,12.0,4.0,10.0,26.0,more_departures,more_departures,more_departures,more_arrivals
Rosensteingasse / Blumengasse,48.222824,16.328474,13.0,8.0,11.0,17.0,20.0,5.0,7.0,5.0,more_arrivals,more_departures,more_departures,more_departures
