,station,degree_centrality,lat,lon,trips_started,trips_ended,trips,connections_total,connections_out,connections_in
215,Dresdner Straße U,0.2411067193675889,48.237487,16.380363,69,61,130,61,32,29
216,FH Technikum,0.0988142292490118,48.23937,16.377182,27,41,68,25,16,9
217,Hans-Steger-Gasse,0.0553359683794466,48.224465,16.456828,10,11,21,14,7,7
218,Löwengasse,0.4624505928853755,48.2057,16.395998,164,147,311,117,52,65
219,Nussbaumallee,0.0316205533596837,48.181554,16.42316,17,6,23,8,5,3
220,Simoningplatz,0.075098814229249,48.179097,16.420704,29,25,54,19,8,11
221,Hermesstraße / Oscar-Straus-Park ,0.0632411067193675,48.167976,16.282246,17,13,30,16,9,7
222,Hütteldorf  S U,0.0988142292490118,48.198076,16.261813,20,18,38,25,12,13
223,Wieningerplatz,0.225296442687747,48.194063,16.31846,46,45,91,57,31,26
224,Technisches Museum,0.1304347826086956,48.190316,16.317929,21,28,49,33,16,17
225,Fultonstraße,0.142292490118577,48.252916,16.413875,49,52,101,36,17,19
226,Großfeldsiedlung U,0.0711462450592885,48.271948,16.447562,21,37,58,18,7,11
227,Jedlesee / Bellgasse,0.1106719367588932,48.262127,16.387658,37,39,76,28,12,16
228,Siemensstraße S,0.0553359683794466,48.27113,16.42081,11,18,29,14,4,10
229,Strebersdorf / Edmund-Hawranek-Platz,0.0237154150197628,,,0,8,8,6,0,6
230,eLastenräder - Am Tabor,0.1818181818181818,48.224598,16.39209,42,40,82,46,21,25
231,Floridsdorfer Markt,0.0711462450592885,48.263052,16.399257,15,16,31,18,10,8
232,Gutheil-Schoder-Gasse / Badner Bahn,0.0513833992094861,48.158662,16.334796,7,10,17,13,5,8
233,Nordbahnstrasse,0.0948616600790513,48.227231,16.388737,17,15,32,24,13,11
234,Stavangergasse,0.0395256916996047,48.213317,16.474986,2,11,13,10,2,8
235,Muthgasse,0.0869565217391304,48.252055,16.369822,24,16,40,22,12,10
236,Edelsinnstraße,0.075098814229249,48.170578,16.310926,14,16,30,19,10,9
237,Nietzscheplatz,0.0830039525691699,48.220453,16.306123,16,12,28,21,12,9
238,Neilreichgasse,0.0988142292490118,48.176253,16.366421,24,25,49,25,17,8
239,Svetelskystraße,0.0909090909090909,48.15403,16.46573,27,20,47,23,12,11
240,Etrichstraße,0.0118577075098814,48.14826,16.462393,2,1,3,3,2,1
241,Zentralfriedhof 2. Tor,0.0592885375494071,48.154665,16.442269,18,17,35,15,8,7
242,Jedleseer Friedhof,0.067193675889328,48.270076,16.384403,24,20,44,17,8,9
243,Neu Leopoldau,0.0553359683794466,48.273397,16.426352,28,12,40,14,8,6
244,Grinzing,0.1304347826086956,48.255793,16.342947,27,25,52,33,21,12
245,Wattmanngasse,0.0118577075098814,48.171677,16.291818,1,3,4,3,1,2
246,Hafen Wien,0.0039525691699604,48.183217,16.458423,2,0,2,1,1,0
247,Hopfengasse,0.0118577075098814,48.269651,16.392036,1,2,3,3,1,2
248,Strebersdorf S,0.0158102766798418,48.286421,16.381676,10,3,13,4,2,2
249,eLastenräder- Modecenterstraße / The Marks,0.0790513833992094,48.184929,16.413964,16,10,26,20,11,9
250,Niederpointenstraße,0.0276679841897233,48.20326,16.275366,3,7,10,7,3,4
251,Joachimsthaler Platz,0.0276679841897233,48.208885,16.303775,6,1,7,7,6,1
252,Vetmed Haupteingang,0.0237154150197628,48.25442,16.431427,9,4,13,6,4,2
253,Siebenhirten U,0.0118577075098814,48.129845,16.310018,5,0,5,3,3,0
